Andong,안동시,North Gyeongsang,South Korea
Ansan,안산시,Gyeonggi,South Korea
Anseong,안성시,Gyeonggi,South Korea
Anyang,안양시,Gyeonggi,South Korea
Asan,아산시,South Chungcheong,South Korea
Boryeong,보령시,South Chungcheong,South Korea
Bucheon,부천시,Gyeonggi,South Korea
Busan,부산광역시,none,South Korea
Changwon,창원시,South Gyeongsang,South Korea
Cheonan,천안시,South Chungcheong,South Korea
Cheongju,청주시,North Chungcheong,South Korea
Chuncheon,춘천시,Gangwon,South Korea
Chungju,충주시,North Chungcheong,South Korea
Daegu,대구광역시,none,South Korea
Daejeon,대전광역시,none,South Korea
Dangjin,당진시,South Chungcheong,South Korea
Dongducheon,동두천시,Gyeonggi,South Korea
Donghae,동해시,Gangwon,South Korea
Gangneung,강릉시,Gangwon,South Korea
Geoje,거제시,South Gyeongsang,South Korea
Gimcheon,김천시,North Gyeongsang,South Korea
Gimhae,김해시,South Gyeongsang,South Korea
Gimje,김제시,North Jeolla,South Korea
Gimpo,김포시,Gyeonggi,South Korea
Gongju,공주시,South Chungcheong,South Korea
Goyang,고양시,Gyeonggi,South Korea
Gumi,구미시,North Gyeongsang,South Korea
Gunpo,군포시,Gyeonggi,South Korea
Gunsan,군산시,North Jeolla,South Korea
Guri,구리시,Gyeonggi,South Korea
Gwacheon,과천시,Gyeonggi,South Korea
Gwangju,광주광역시,none,South Korea
Gwangju,광주시,Gyeonggi,South Korea
Gwangmyeong,광명시,Gyeonggi,South Korea
Gwangyang,광양시,South Jeolla,South Korea
Gyeongju,경주시,North Gyeongsang,South Korea
Gyeongsan,경산시,North Gyeongsang,South Korea
Gyeryong,계룡시,South Chungcheong,South Korea
Hanam,하남시,Gyeonggi,South Korea
Hwaseong,화성시,Gyeonggi,South Korea
Icheon,이천시,Gyeonggi,South Korea
Iksan,익산시,North Jeolla,South Korea
Incheon,인천광역시,none,South Korea
Jecheon,제천시,North Chungcheong,South Korea
Jeongeup,정읍시,North Jeolla,South Korea
Jeonju,전주시,North Jeolla,South Korea
Jeju,제주시,Jeju,South Korea
Jinju,진주시,South Gyeongsang,South Korea
Naju,나주시,South Jeolla,South Korea
Namyangju,남양주시,Gyeonggi,South Korea
Namwon,남원시,North Jeolla,South Korea
Nonsan,논산시,South Chungcheong,South Korea
Miryang,밀양시,South Gyeongsang,South Korea
Mokpo,목포시,South Jeolla,South Korea
Mungyeong,문경시,North Gyeongsang,South Korea
Osan,오산시,Gyeonggi,South Korea
Paju,파주시,Gyeonggi,South Korea
Pocheon,포천시,Gyeonggi,South Korea
Pohang,포항시,North Gyeongsang,South Korea
Pyeongtaek,평택시,Gyeonggi,South Korea
Sacheon,사천시,South Gyeongsang,South Korea
Sangju,상주시,North Gyeongsang,South Korea
Samcheok,삼척시,Gangwon,South Korea
Sejong,세종특별자치시,none,South Korea
Seogwipo,서귀포시,Jeju,South Korea
Seongnam,성남시,Gyeonggi,South Korea
Seosan,서산시,South Chungcheong,South Korea
Seoul,서울특별시,none,South Korea
Siheung,시흥시,Gyeonggi,South Korea
Sokcho,속초시,Gangwon,South Korea
Suncheon,순천시,South Jeolla,South Korea
Suwon,수원시,Gyeonggi,South Korea
Taebaek,태백시,Gangwon,South Korea
Tongyeong,통영시,South Gyeongsang,South Korea
Uijeongbu,의정부시,Gyeonggi,South Korea
Uiwang,의왕시,Gyeonggi,South Korea
Ulsan,울산광역시,none,South Korea
Wonju,원주시,Gangwon,South Korea
Yangju,양주시,Gyeonggi,South Korea
Yangsan,양산시,South Gyeongsang,South Korea
Yeoju,여주시,Gyeonggi,South Korea
Yeongcheon,영천시,North Gyeongsang,South Korea
Yeongju,영주시,North Gyeongsang,South Korea
Yeosu,여수시,South Jeolla,South Korea
Yongin,용인시,Gyeonggi,South Korea
